id,x,y,type,range,energy
1,80,120,SURVIVOR,90,18.5
2,140,340,SURVIVOR,85,22.0
3,210,90,SURVIVOR,95,15.2
4,260,480,SURVIVOR,80,19.8
5,320,220,RELAY,160,60.0
6,300,600,SURVIVOR,90,20.1
7,410,150,RELAY,170,58.5
8,450,420,RELAY,165,61.2
9,520,300,RELAY,175,59.0
10,600,540,SURVIVOR,85,17.4
11,650,180,RESCUE,200,100.0
12,700,400,RESCUE,210,100.0
13,780,260,RELAY,180,57.8
14,120,560,SURVIVOR,88,16.9
15,380,640,SURVIVOR,82,21.5
16,540,90,SURVIVOR,92,14.7
17,830,520,RESCUE,205,100.0
18,240,710,SURVIVOR,86,18.0
19,900,150,RELAY,190,55.3
20,960,600,SURVIVOR,84,19.2
21,60,430,RELAY,155,62.0
22,470,560,SURVIVOR,89,17.7
23,610,690,SURVIVOR,83,20.9
24,340,40,SURVIVOR,91,15.9
25,760,700,SURVIVOR,85,18.3
26,200,250,RELAY,150,63.4
27,880,380,RELAY,185,56.6
28,50,710,SURVIVOR,87,19.6
29,990,50,SURVIVOR,90,16.4
30,500,730,RESCUE,215,100.0
